,ANÁLISIS / ANALYSES,UNIDADES / UNIT,MIN,MAX,MÉTODO / METHOD,RESULTADOS DE CALIDAD / QUALITY RESULTS,CLIENTE,PRODUCTO,FECHA,NUM PAGINA,ARCHIVO,INCERTIDUMBRE/ UNCERTAINTY %
3164,DESTILACION 90% VOL. RECUPERADO,,,190,ASTM D86,169,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3165,PUNTO FINAL,·℃,,225,ASTM D86,207,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3166,RESIDUO,% Vol.,1,"2,0",ASTM D86,1.0,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3167,RECUPERADO @ 70 °℃,% Vol.,Reportar,,ASTM D86,21.50,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3168,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,.,4,ASTM D-381,N/D,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3169,PERIODO DE INDUCCION,Minutos,240,-,ASTM D-525,>240,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3170,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3171,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° ℃),Adim.,,No. 1,ASTM D-130,1A,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3172,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3173,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0003,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3174,COLOR,-,Incoloro,,,Amarillo,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3175,OLOR,,Comerciable,,,Comerciable,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3176,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7504,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3177,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,57.0,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3178,INDICE ANTIDETONANTE,.,Reportar,,Calculo,89.0,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 08:15:00,1,2023 03 156.pdf,
3179,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,93.6,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 20:15:00,2,2023 03 156.pdf,
3180,NUMERO DE OCTANO METODO MOTOR (MON),,82,,ASTM D-2700,84.7,SHELL GESOIMPRO,GASOLINA PREMIUM,2023-03-28 20:15:00,2,2023 03 156.pdf,
3181,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,90.5,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3182,NUMERO DE OCTANO METODO MOTOR (MON),.,76,,ASTM D-2700,81.4,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3183,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3184,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,-,10.0,ASTM D-323,9.34,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3185,RVP + 0.1 E 70 °C,.,Reportar,.,Calculo,11.62,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3186,DESTILACION 10% VOL. RECUPERADO,,,75,ASTM D86,54,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3187,DESTILACION 50% VOL. RECUPERADO,,,121,ASTM D86,104,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3188,DESTILACION 90% VOL. RECUPERADO,,-,190,ASTM D86,169,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3189,PUNTO FINAL,,,225,ASTM D86,202,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3190,RESIDUO,% Vol.,1,"2,0",ASTM D86,1.0,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3191,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,22.78,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3192,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,0.6,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3193,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3194,CONTENIDO DE AZUFRE,% Peso,1,0.15,ASTM D-4294,N/D,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3195,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3196,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3197,MERCAPTANO COMO AZUFRE,% Peso,1,0.0015,ASTM D-3227,0.0007,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3198,COLOR,-,Naranja,,,Rojo,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3199,OLOR,.,Comerciable,,,Comerciable,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3200,DENSIDAD @ 15 ℃,Kg/L,Reportar,.,ASTM D-1298,0.7311,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3201,GRAVEDAD API @ 60° F,-,Reportar,,ASTM D-1298,62.0,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3202,INDICE ANTIDETONANTE,,Reportar,,Calculo,86.0,SHELL GESOIMPRO,GASOLINA REGULAR,2023-03-28 20:15:00,3,2023 03 156.pdf,
3203,NUMERO DE OCTANO METODO RESEARCH (RON),.,95,",",ASTM D-2699,95.4,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3204,NUMERO DE OCTANO METODO MOTOR (MON),,82,.,ASTM D-2700,86.2,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3205,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3206,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.43,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3207,RVP + 0.1 E70°C,-,Reportar,,Calculo,11.81,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3208,DESTILACION 10% VOL. RECUPERADO,·C,1,75,ASTM D86,50,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3209,DESTILACION 50% VOL. RECUPERADO,℃,-,121,ASTM D86,96,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3210,DESTILACION 90% VOL. RECUPERADO,ºC,-,190,ASTM D86,159,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3211,PUNTO FINAL,℃,-,225,ASTM D86,196,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3212,RESIDUO,% Vol.,.,"2,0",ASTM D86,0.5,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3213,RECUPERADO @ 70 °℃,% Vol.,Reportar,.,ASTM D86,33.75,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3214,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,N/D,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3215,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3216,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3217,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,-,No. 1,ASTM D-130,1A,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3218,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3219,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0002,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3220,COLOR,,Incoloro,,,Amarillo,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3221,OLOR,,Comerciable,,,Comerciable,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3222,DENSIDAD @ 15 °C,Kg/L,Reportar,,ASTM D-1298,0.7425,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3223,GRAVEDAD API @ 60 ° F,,Reportar,-,ASTM D-1298,59.0,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3224,INDICE ANTIDETONANTE,,Reportar,-,Calculo,90.8,ATLANTIC TRADING,GASOLINA PREMIUM,2023-01-06 18:51:00,1,2023 06 007.pdf,
3225,NUMERO DE OCTANO METODO RESEARCH (RON),.,95,,ASTM D-2699,94.7,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3226,NUMERO DE OCTANO METODO MOTOR (MON),.,82,.,ASTM D-2700,85.6,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3227,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3228,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,1,10.0,ASTM D-323,8.02,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3229,RVP + 0.1 E 70 °℃,,Reportar,.,Calculo,9.96,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3230,DESTILACION 10% VOL. RECUPERADO,º C,,75,ASTM D86,59,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3231,DESTILACION 50% VOL. RECUPERADO,·℃,-,121,ASTM D86,109,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3232,DESTILACION 90% VOL. RECUPERADO,℃,-,190,ASTM D86,169,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3233,PUNTO FINAL,℃,-,225,ASTM D86,208,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3234,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3235,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,19.38,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3236,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,-,4,ASTM D-381,N/D,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3237,PERIODO DE INDUCCION,Minutos,240,1,ASTM D-525,>240,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3238,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3239,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3240,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3241,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0003,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3242,COLOR,-,Incoloro,,,Amarillo,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3243,OLOR,,Comerciable,,,Comerciable,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3244,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7425,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3245,GRAVEDAD API @ 60 ° F,-,Reportar,,ASTM D-1298,59.0,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3246,INDICE ANTIDETONANTE,,Reportar,,Calculo,90.2,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,1,2023 04 102.pdf,
3247,NUMERO DE OCTANO METODO RESEARCH (RON),1,95,1,ASTM D-2699,94.7,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,2,2023 04 102.pdf,
3248,NUMERO DE OCTANO METODO MOTOR (MON),,82,,ASTM D-2700,85.7,PETROCOMBISA HAINA,GASOLINA PREMIUM,2023-02-05 07:25:00,2,2023 04 102.pdf,
3249,NUMERO DE OCTANO METODO RESEARCH (RON),.,89,,ASTM D-2699,91.2,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3250,NUMERO DE OCTANO METODO MOTOR (MON),.,76,.,ASTM D-2700,81.9,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3251,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3252,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.28,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3253,RVP + 0.1 E 70°C,.,Reportar,-,Calculo,10.83,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3254,DESTILACION 10% VOL RECUPERADO,OC,,75,ASTM D86,55,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3255,DESTILACION 50% VOL. RECUPERADO,·℃,,121,ASTM D86,98,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3256,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,162,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3257,PUNTO FINAL,℃,,225,ASTM D86,193,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3258,RESIDUO,% Vol.,,"2,0",ASTM D86,0.9,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3259,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,25.50,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3260,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,0.7,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3261,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3262,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3263,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3264,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3265,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0007,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3266,COLOR,.,Naranja,,,Rojo,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3267,OLOR,,Comerciable,,,Comerciable,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3268,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3269,GRAVEDAD API @ 60 ° F,-,Reportar,-,ASTM D-1298,60.0,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3270,INDICE ANTIDETONANTE,,Reportar,,Calculo,86.6,PETROCOMBISA HAINA,GASOLINA REGULAR,2023-02-05 07:25:00,3,2023 04 102.pdf,
3271,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,94.1,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3272,NUMERO DE OCTANO METODO MOTOR (MON),,82,,ASTM D-2700,85.2,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3273,CONTENIDO DE PLOMO,G/gal,-,0.02,ASTM D-3237,N/D,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3274,PRESION A VAPOR REID (RVP] @ 100 º F,PSI,,10.0,ASTM D-323,8.21,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3275,RVP + 0.1 E 70 °C,-,Reportar,-,Calculo,10.46,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3276,DESTILACION 10% VOL. RECUPERADO,0,,75,ASTM D86,55,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3277,DESTILACION 50% VOL. RECUPERADO,,,121,ASTM D86,112,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3278,DESTILACION 90% VOL. RECUPERADO,°C,,190,ASTM D86,165,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3279,PUNTO FINAL,℃,,225,ASTM D86,215,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3280,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3281,RECUPERADO @ 70 °C,% Vol.,Reportar,,ASTM D86,22.50,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3282,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,N/D,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3283,PERIODO DE INDUCCION,Minutos,240,1,ASTM D-525,>240,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3284,CONTENIDO DE AZUFRE,% en Peso,1,0.15,ASTM D-4294,N/D,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3285,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3286,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3287,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3288,COLOR,-,Incoloro,,,Amarillo,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3289,OLOR,-,Comerciable,,,Comerciable,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3290,DENSIDAD @ 15 °℃,Kg/L,Reportar,,ASTM D-1298,0.7464,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3291,GRAVEDAD API @ 60 º F,-,Reportar,,ASTM D-1298,58.0,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3292,INDICE ANTIDETONANTE,,Reportar,,Calculo,89.7,TOTAL HERCOSA SERVICE,GASOLINA PREMIUM,2023-01-21 13:00:00,1,2023 01 047.pdf,
3293,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,90.0,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3294,NUMERO DE OCTANO METODO MOTOR (MON),,76,1,ASTM D-2700,80.0,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3295,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3296,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.69,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3297,RVP + 0.1 E 70 °C,-,Reportar,-,Calculo,12.39,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3298,DESTILACION 10% VOL. RECUPERADO,0℃,I,75,ASTM D86,53,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3299,DESTILACION 50% VOL. RECUPERADO,ºC,,121,ASTM D86,96,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3300,DESTILACION 90% VOL. RECUPERADO,,,190,ASTM D86,158,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3301,PUNTO FINAL,℃,,225,ASTM DB6,195,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3302,RESIDUO,% Vol.,,"2,0",ASTM D86,0.5,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3303,RECUPERADO @ 70 °C,% Vol.,Reportar,,ASTM D86,27.0,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3304,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,4,4,ASTM D-381,N/D,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3305,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3306,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3307,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1B,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3308,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3309,MERCAPTANO COMO AZUFRE,% Peso,ʻ,0.0015,ASTM D-3227,0.0006,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
3310,COLOR,-,Naranja,I,,Naranja,TOTAL HERCOSA SERVICE,GASOLINA REGULAR,2023-01-21 13:00:00,2,2023 01 047.pdf,
